img_id,img_label,xmin,ymin,xmax,ymax
0,1,846,145,992,622
0,1,848,216,1023,767
0,2,74,159,149,240
0,2,153,124,811,767
1,1,488,281,516,352
1,2,26,283,171,358
1,2,592,287,713,386
2,1,8,0,88,609
2,1,57,32,208,288
2,1,167,0,456,648
2,1,330,67,410,270
2,1,366,151,633,491
2,1,408,65,493,236
2,1,533,65,602,172
2,1,587,251,837,583
2,1,618,41,692,198
2,1,691,49,750,151
2,1,748,67,791,136
2,2,609,0,1023,498
3,1,454,188,558,305
3,2,112,139,908,550
4,1,221,718,273,840
4,1,305,766,366,879
4,1,514,735,565,911
4,1,651,728,712,880
4,1,716,738,749,874
4,1,763,736,817,882
4,1,778,751,817,873
4,1,838,738,888,847
4,1,869,763,901,835
4,2,0,690,273,925
5,1,241,31,314,124
5,1,805,132,823,190
5,2,0,0,773,459
5,2,811,102,1023,336
6,1,0,184,246,463
6,1,57,127,184,287
6,1,172,161,323,439
6,1,272,53,417,401
6,1,398,179,566,503
6,2,894,348,1023,575
7,1,38,685,70,716
7,1,100,680,138,739
7,1,110,682,121,706
7,1,213,675,227,704
7,1,247,676,281,734
7,1,375,675,391,727
7,1,405,682,440,733
7,2,950,668,1015,743
9,1,148,234,270,681
9,2,627,235,949,394
9,2,872,146,1023,326
8,1,317,80,491,352
8,1,793,188,867,371
8,1,893,166,972,354
8,2,825,168,857,193
10,1,45,293,88,412
10,1,101,283,140,412
10,1,128,292,187,424
10,1,215,298,245,390
10,1,318,298,351,377
10,1,497,310,517,356
10,1,517,297,560,415
10,1,558,297,591,416
10,1,590,306,615,363
10,1,626,329,672,392
10,2,625,295,671,327
10,2,777,286,986,383
10,2,922,293,1023,351
11,1,603,359,625,388
11,1,656,358,699,415
11,1,705,353,756,415
11,1,742,357,755,378
11,2,370,353,470,390
11,2,455,346,550,386
11,2,540,352,600,395
11,2,746,356,792,377
11,2,820,351,904,415
12,1,28,337,56,393
12,1,50,325,78,393
12,1,77,324,106,386
12,1,94,320,133,386
12,1,189,320,202,378
12,1,204,308,230,378
12,1,224,301,261,374
12,1,258,313,304,370
12,1,307,297,333,374
12,1,333,298,371,368
12,1,543,288,580,357
12,1,605,286,629,349
12,2,0,320,55,351
12,2,98,320,175,350
12,2,359,312,436,352
12,2,500,308,548,339
12,2,539,303,668,334
12,2,659,255,922,406
13,1,252,318,614,575
13,2,316,391,387,451
14,1,158,275,320,459
14,1,260,256,423,682
14,1,395,315,509,415
14,1,566,260,740,426
14,2,0,411,1023,682
15,1,203,510,284,660
15,1,252,497,304,659
15,1,376,523,478,696
15,1,433,519,499,647
15,1,515,463,564,559
15,1,515,559,609,680
15,1,549,442,574,483
15,1,560,439,601,535
15,1,576,601,678,702
15,1,815,464,898,595
15,1,871,518,945,624
15,1,931,431,974,518
15,1,940,460,999,538
15,1,990,430,1022,520
15,2,0,613,168,702
17,1,245,308,289,371
17,1,524,252,548,277
17,1,531,248,583,312
